stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249535,Bhadohi,Bhadohi,801239,5,Municipality,210038,Ahamadpur Phulwariya,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249361,Bharwari(Kaushambi),Bharwari(Kaushambi),801079,5,Municipality,160500,Asad Ullahpur Roohi,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,297025,Bhinga,Bhinga,000000,5,Municipality,923,Bhinga,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248910,Bijnor,Bijnor,800665,5,Municipality,132,Bijnor,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248931,Bilari,Bilari,800684,5,Municipality,720,Bilari,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249470,Bilariaganj,Bilariaganj,801185,5,Municipality,192997,Akbarpur,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248941,Bilaspur,Bilaspur,800693,5,Municipality,940588,Bilaspur,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249203,Bilgram,Bilgram,800921,5,Municipality,812,Bilgram,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249282,Bilhaur,Bilhaur,801002,5,Municipality,848,Bilhaur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249122,Bilsi,Bilsi,800840,5,Municipality,780,Bilsi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249345,Bindki,Bindki,801062,5,Municipality,877,Bindki,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249162,Bisalpur,Bisalpur,800879,5,Municipality,791,Bisalpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249118,Bisauli,Bisauli,800836,5,Municipality,779,Bisauli,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249193,Biswan,Biswan,800911,5,Municipality,806,Biswan,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249126,Budaun,Budaun,800844,5,Municipality,782,Budaun,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249005,Bulandshahr,Bulandshahr,800749,5,Municipality,134,Bulandshahr,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248937,Chandausi,Chandausi,800689,5,Municipality,722,Chandausi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248924,Chandpur,Chandpur,800677,5,Municipality,716,Chandpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249330,Charkhari,Charkhari,801047,5,Municipality,869,Charkhari,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249256,Chhibramau,Chhibramau,800975,5,Municipality,833,Chhibramau,Subistrict,Partial,2024-10-14 08:43:46
